time, Quad.Roll, Quad.Est.Roll, Quad.Pitch, Quad.Est.Pitch, Quad.Yaw, Quad.Est.Yaw
0.005000,0.000015,0.000018,-0.000032,-0.000043,0.000000,0.000000
0.010000,0.000051,0.000046,-0.000505,-0.000402,0.000002,0.000002
0.015000,0.000093,0.000096,-0.002478,-0.002794,0.000003,0.000003
0.020000,0.000100,0.000103,-0.007332,-0.006658,-0.000001,-0.000001
0.025000,0.000001,-0.000015,-0.016359,-0.017512,-0.000012,-0.000014
0.030000,-0.000190,-0.000169,-0.030757,-0.029025,-0.000025,-0.000024
0.035000,-0.000472,-0.000507,-0.051052,-0.053379,-0.000033,-0.000035
0.040000,-0.000805,-0.000776,-0.077113,-0.074243,-0.000032,-0.000036
0.045000,-0.001101,-0.001131,-0.108190,-0.111518,-0.000020,-0.000024
0.050000,-0.001386,-0.001358,-0.142949,-0.139355,0.000008,-0.000003
0.055000,-0.001671,-0.001697,-0.179844,-0.183611,0.000053,0.000049
0.060000,-0.001945,-0.001917,-0.217282,-0.213592,0.000113,0.000095
0.065000,-0.002138,-0.002149,-0.253816,-0.257426,0.000183,0.000176
0.070000,-0.002216,-0.002208,-0.288255,-0.284998,0.000259,0.000237
0.075000,-0.002241,-0.002239,-0.319749,-0.322793,0.000342,0.000336
0.080000,-0.002287,-0.002273,-0.347758,-0.345212,0.000428,0.000404
0.085000,-0.002402,-0.002411,-0.372117,-0.374461,0.000513,0.000505
0.090000,-0.002563,-0.002541,-0.392992,-0.391161,0.000597,0.000572
0.095000,-0.002715,-0.002723,-0.410873,-0.412643,0.000683,0.000674
0.100000,-0.002850,-0.002831,-0.426311,-0.424993,0.000772,0.000744
0.105000,-0.002943,-0.002942,-0.439920,-0.441350,0.000862,0.000852
0.110000,-0.002993,-0.002982,-0.452303,-0.451260,0.000956,0.000927
0.115000,-0.003016,-0.003010,-0.463926,-0.465227,0.001051,0.001041
0.120000,-0.003047,-0.003034,-0.475105,-0.474177,0.001143,0.001114
0.125000,-0.003124,-0.003124,-0.486115,-0.487409,0.001231,0.001219
0.130000,-0.003203,-0.003187,-0.497135,-0.496234,0.001318,0.001289
0.135000,-0.003244,-0.003234,-0.508244,-0.509579,0.001406,0.001394
0.140000,-0.003189,-0.003188,-0.519423,-0.518534,0.001491,0.001462
0.145000,-0.003059,-0.003032,-0.530575,-0.531930,0.001573,0.001560
0.150000,-0.002824,-0.002844,-0.541591,-0.540755,0.001650,0.001622
0.155000,-0.002526,-0.002486,-0.552348,-0.553677,0.001722,0.001709
0.160000,-0.002193,-0.002219,-0.562688,-0.561972,0.001787,0.001761
0.165000,-0.001853,-0.001810,-0.571897,-0.573015,0.001846,0.001833
0.170000,-0.001526,-0.001548,-0.578530,-0.578358,0.001902,0.001878
0.175000,-0.001246,-0.001212,-0.580891,-0.581182,0.001953,0.001939
0.180000,-0.001052,-0.001059,-0.577359,-0.578389,0.001997,0.001974
0.185000,-0.000925,-0.000906,-0.566499,-0.565352,0.002036,0.002021
0.190000,-0.000765,-0.000783,-0.547157,-0.549902,0.002069,0.002047
0.195000,-0.000526,-0.000577,-0.518574,-0.515616,0.002098,0.002078
0.200000,-0.000218,-0.000328,-0.480555,-0.485202,0.002129,0.002097
0.205000,0.000116,0.000077,-0.433589,-0.428875,0.002173,0.002142
0.210000,0.000451,0.000346,-0.378770,-0.384997,0.002236,0.002186
0.215000,0.000764,0.000722,-0.318015,-0.312147,0.002319,0.002276
0.220000,0.000983,0.000897,-0.253808,-0.260752,0.002415,0.002346
0.225000,0.001124,0.001064,-0.188594,-0.182538,0.002514,0.002457
0.230000,0.001179,0.001107,-0.124394,-0.131159,0.002611,0.002531
0.235000,0.001216,0.001150,-0.062765,-0.057234,0.002707,0.002641
0.240000,0.001242,0.001169,-0.004893,-0.010928,0.002801,0.002712
0.245000,0.001260,0.001190,0.048549,0.053196,0.002892,0.002817
0.250000,0.001302,0.001222,0.097215,0.092132,0.002980,0.002884
0.255000,0.001426,0.001369,0.140968,0.144642,0.003066,0.002982
0.260000,0.001621,0.001525,0.179821,0.175728,0.003153,0.003048
0.265000,0.001880,0.001833,0.213894,0.216628,0.003243,0.003151
0.270000,0.002157,0.002054,0.243436,0.240261,0.003332,0.003219
0.275000,0.002418,0.002369,0.268914,0.270858,0.003418,0.003318
0.280000,0.002692,0.002589,0.291026,0.288543,0.003503,0.003383
0.285000,0.002912,0.002851,0.310571,0.312025,0.003587,0.003481
0.290000,0.003037,0.002952,0.328347,0.326243,0.003669,0.003545
0.295000,0.003039,0.002954,0.345046,0.346303,0.003750,0.003640
0.300000,0.002947,0.002878,0.361131,0.359175,0.003828,0.003701
0.305000,0.002894,0.002813,0.376954,0.378180,0.003900,0.003787
