time, Quad.Est.E.Yaw, Quad.Est.E.Pitch, Quad.Est.E.Roll
0.005000,0.000000,-0.000029,0.000010
0.010000,0.000000,-0.000193,0.000009
0.015000,-0.000000,-0.000900,0.000009
0.020000,-0.000001,-0.001695,-0.000002
0.025000,-0.000004,-0.003356,-0.000045
0.030000,-0.000004,-0.004724,-0.000065
0.035000,-0.000003,-0.006860,-0.000100
0.040000,-0.000003,-0.008212,-0.000100
0.045000,-0.000000,-0.009886,-0.000088
0.050000,0.000003,-0.010654,-0.000084
0.055000,0.000006,-0.011242,-0.000083
0.060000,0.000007,-0.011251,-0.000078
0.065000,0.000008,-0.010785,-0.000039
0.070000,0.000009,-0.010202,-0.000014
0.075000,0.000011,-0.009075,-0.000002
0.080000,0.000010,-0.008222,-0.000011
0.085000,0.000009,-0.006926,-0.000038
0.090000,0.000008,-0.006131,-0.000042
0.095000,0.000008,-0.005131,-0.000038
0.100000,0.000008,-0.004603,-0.000030
0.105000,0.000008,-0.004035,-0.000015
0.110000,0.000009,-0.003798,-0.000004
0.115000,0.000009,-0.003580,0.000002
0.120000,0.000007,-0.003508,-0.000001
0.125000,0.000006,-0.003495,-0.000017
0.130000,0.000005,-0.003513,-0.000013
0.135000,0.000005,-0.003564,0.000010
0.140000,0.000004,-0.003584,0.000032
0.145000,0.000003,-0.003579,0.000060
0.150000,0.000002,-0.003547,0.000088
0.155000,0.000001,-0.003455,0.000102
0.160000,-0.000001,-0.003344,0.000112
0.165000,-0.000002,-0.002807,0.000110
0.170000,-0.000002,-0.002067,0.000106
0.175000,-0.000004,-0.000342,0.000086
0.180000,-0.000006,0.001186,0.000059
0.185000,-0.000008,0.003966,0.000044
0.190000,-0.000010,0.006064,0.000053
0.195000,-0.000015,0.009436,0.000004
0.200000,-0.000018,0.011674,0.000021
0.205000,-0.000021,0.014784,0.000027
0.210000,-0.000023,0.016536,0.000031
0.215000,-0.000026,0.018379,0.000013
0.220000,-0.000030,0.018989,-0.000009
0.225000,-0.000037,0.019076,-0.000040
0.230000,-0.000041,0.018682,-0.000055
0.235000,-0.000047,0.017588,-0.000059
0.240000,-0.000051,0.016610,-0.000064
0.245000,-0.000057,0.014961,-0.000066
0.250000,-0.000061,0.013797,-0.000056
0.255000,-0.000066,0.012031,-0.000025
0.260000,-0.000069,0.010866,-0.000011
0.265000,-0.000074,0.009175,0.000009
0.270000,-0.000078,0.008124,0.000007
0.275000,-0.000083,0.006744,0.000005
0.280000,-0.000086,0.006011,0.000004
0.285000,-0.000089,0.005196,-0.000025
0.290000,-0.000092,0.004842,-0.000051
0.295000,-0.000094,0.004535,-0.000094
0.300000,-0.000096,0.004430,-0.000108
0.305000,-0.000099,0.004382,-0.000085
0.310000,-0.000102,0.004379,-0.000067
0.314999,-0.000105,0.004367,-0.000046
0.319999,-0.000106,0.004355,-0.000032
0.324999,-0.000108,0.004297,-0.000015
